Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank
Zapproved,https://www.crunchbase.com/organization/zapproved,"Software, Internet Services","Portland, Oregon, United States",Zapproved Inc. is a pioneer in developing cloud-based eDiscovery software for corporate in-house legal departments.,"4,797"
GovDelivery,https://www.crunchbase.com/organization/govdelivery,"Information Technology, Software, Internet Services, Messaging and Telecommunications","Saint Paul, Minnesota, United States",GovDelivery enables public sector organizations to connect with more people and to get those people to take action.,"4,791"
Payfirma,https://www.crunchbase.com/organization/payfirma-corporation,"Commerce and Shopping, Software, Payments, Financial Services, Mobile","Vancouver, British Columbia, Canada","Payfirma offers businesses a multi-channel payment platform for mobile, ecommerce and in-store payments.","4,783"
"Sagence Learning, Inc.",https://www.crunchbase.com/organization/flat-world-knowledge,"Software, Education","Brooklyn, New York, United States","Sagence improves the lives of today's students by partnering with institutions to provide flexible, affordable competency-based learning.","4,777"
Take the Interview,https://www.crunchbase.com/organization/take-the-interview,"Media and Entertainment, Software, Video","New York, New York, United States",Take the Interview is a cloud-based interview management platform that helps organizations hire better people faster.,"4,772"
Appcito,https://www.crunchbase.com/organization/appcito-inc,"Information Technology, Software, Internet Services","Santa Clara, California, United States",Appcito accelerates multi-cloud adoption with a transformative application delivery solution for new age application architectures.,"4,688"
TINYpulse,https://www.crunchbase.com/organization/tinypulse,Software,"Seattle, Washington, United States","Prior to TINYpulse, Niu co-founded BuddyTV in 2005","4,686"
Spoiler Alert,https://www.crunchbase.com/organization/spoileralert,"Commerce and Shopping, Sustainability, Software","Boston, Massachusetts, United States","Spoiler Alert is a technology company that helps food businesses, farms and nonprofits better manage unsold food inventory.","4,685"
Shoppable,https://www.crunchbase.com/organization/72lux,"Commerce and Shopping, Software, Sales and Marketing, Mobile, Advertising","New York, New York, United States",Shoppable® is the leader in universal checkout technology and distributed commerce solutions for affiliates and merchants. ,"4,654"
Acxiom,https://www.crunchbase.com/organization/acxiom,"Information Technology, Data and Analytics, Software, Sales and Marketing, Privacy and Security, Advertising","Little Rock, Arkansas, United States",Acxiom is a SaaS-based company providing enterprise data analytics to fuel data-driven results.,"4,638"
yello,https://www.crunchbase.com/organization/yello,"Information Technology, Software, Sales and Marketing, Professional Services, Mobile","Chicago, Illinois, United States",Yello's leading talent acquisition software is used by Fortune 500 companies and high-growth businesses to attract and nurture top talent,"4,627"
Hirewire,https://www.crunchbase.com/organization/hirewire,"Apps, Commerce and Shopping, Software, Professional Services, Internet Services, Mobile","Atlanta, Georgia, United States",Hirewire is a hiring marketplace enabling employers and job seekers to connect in real time.,"4,621"
CloudEndure,https://www.crunchbase.com/organization/cloudendure,"Software, Internet Services, Privacy and Security","Tel Aviv, Tel Aviv, Israel",CloudEndure provides Live Migration and Disaster Recovery for any application.,"4,619"
Surefire Social,https://www.crunchbase.com/organization/surefire-social,"Media and Entertainment, Navigation and Mapping, Information Technology, Data and Analytics, Software, Internet Services","Mc Lean, Virginia, United States","Surefire Social provides a local marketing cloud for low cost, easy to use web presence management.","4,609"
"automotiveMastermind, Inc",https://www.crunchbase.com/organization/automotivemastermind-inc,"Information Technology, Software, Sales and Marketing, Transportation","New York, New York, United States","automotiveMastermind is a behavior prediction technology that provides a clear, structured overview of what each customer is going to buy.","4,574"
ReverbNation,https://www.crunchbase.com/organization/reverbnation,"Media and Entertainment, Music and Audio, Software, Design","Durham, North Carolina, United States",ReverbNation connects Artists to the Music Industry.,"4,552"
Mercatus,https://www.crunchbase.com/organization/mercatus,"Energy, Hardware, Information Technology, Software, Internet Services","San Mateo, California, United States",Mercatus is a cloud-based software company that is digitally transforming the way global energy producers invest.,"4,541"
Achievers,https://www.crunchbase.com/organization/achievers,Software,"San Francisco, California, United States","Achievers is a recognition and rewards software that increases employee engagement, retention and performance.","4,527"
GridPoint,https://www.crunchbase.com/organization/gridpoint,"Energy, Sustainability, Data and Analytics, Software","Arlington, Virginia, United States","GridPoint is a clean tech company delivering a comprehensive suite of hardware and software, and other related services.","4,518"
StyleSage,https://www.crunchbase.com/organization/stylesage,"Hardware, Commerce and Shopping, Data and Analytics, Software, Internet Services, Design","Manhattan, New York, United States",Smart machines that see the world of retail the way you do,"4,482"
Fieldwire,https://www.crunchbase.com/organization/fieldwire,"Real Estate, Software, Mobile","San Francisco, California, United States",The #1 construction management & field collaboration app for contractors.,"4,473"
360insights,https://www.crunchbase.com/organization/360incentives-com,"Manufacturing, Software","Whitby, Ontario, Canada",360insightsprovides a SaaS-based platform that enables manufacturers and distributors to manage their incentives programs.,"4,459"
SmashFly,https://www.crunchbase.com/organization/smashfly,"Software, Administrative Services, Professional Services, Education","Concord, Massachusetts, United States",Marketing Automation for Recruiting (Recruitment Marketing),"4,447"
Phenom People,https://www.crunchbase.com/organization/phenom-people,"Science and Engineering, Information Technology, Data and Analytics, Software, Sales and Marketing","Horsham, Pennsylvania, United States",Phenom People is the leader in the Talent Relationship Marketing category.,"4,437"
Avangate,https://www.crunchbase.com/organization/avangate-bv,"Commerce and Shopping, Media and Entertainment, Information Technology, Software, Internet Services, Content and Publishing, Financial Services, Mobile","Amsterdam, Noord-Holland, The Netherlands",Avangate powers commerce for the modern digital business.,"4,426"
HighGround,https://www.crunchbase.com/organization/highground,Software,"Chicago, Illinois, United States",HighGround offers a cloud platform to create high performing organizations through employee engagement and development.,"4,417"
Vena Solutions,https://www.crunchbase.com/organization/vena-solutions,"Data and Analytics, Software","Toronto, Ontario, Canada",Vena Solutions offers SaaS-based enterprise performance management solutions for mission-critical finance and accounting processes.,"4,343"
Aquicore,https://www.crunchbase.com/organization/aquicore,"Energy, Sustainability, Software, Internet Services","Washington, District of Columbia, United States","Aquicore, Inc. provides an analytics software platform for energy efficiency management. Its platform offers solutions in the areas of","4,341"
Citrix Systems,https://www.crunchbase.com/organization/citrix-systems,"Hardware, Information Technology, Software","Fort Lauderdale, Florida, United States",Citrix Systems is focused on providing virtualization and remote access software applications.,"4,333"
DFLabs,https://www.crunchbase.com/organization/dflabs,"Software, Internet Services, Privacy and Security","Milano, Lombardia, Italy",Cybersecurity Incident and Breach Response Technologies and services,"4,330"
Comprehend Systems,https://www.crunchbase.com/organization/comprehend-systems,"Data and Analytics, Software","Redwood City, California, United States",Comprehend is a technology company with a new class of cloud software to help ClinOps teams continuously improve speed and quality.,"4,316"
iCharts,https://www.crunchbase.com/organization/icharts,"Information Technology, Data and Analytics, Software, Design","Mountain View, California, United States",Real-time Visual Analytics for NetSuite and Google Cloud Platform,"4,297"
Skyward,https://www.crunchbase.com/organization/skyward-io-inc,"Hardware, Consumer Electronics, Software, Consumer Goods","Portland, Oregon, United States",Skyward is the first operations management solution for commercial drone businesses.,"4,283"
BetterDoctor,https://www.crunchbase.com/organization/betterdoctor-inc,"Apps, Data and Analytics, Software, Health Care, Internet Services, Mobile","San Francisco, California, United States",BetterDoctor delivers accurate provider directory data and has a nation wide provider database that can be accessed through a responsive API,"4,229"
Bullhorn,https://www.crunchbase.com/organization/bullhorn,"Information Technology, Software, Sales and Marketing","Boston, Massachusetts, United States",Bullhorn provides cloud-based CRM solutions for companies in business services industries.,"4,226"
"Catalytic, Inc.",https://www.crunchbase.com/organization/catalytic-inc,"Apps, Information Technology, Software, Internet Services","Naperville, Illinois, United States","Catalytic, Inc. is a collaborative software developer that focuses on improving team performance in business operations.","4,194"
Chargebee,https://www.crunchbase.com/organization/chargebee,"Software, Payments, Financial Services","Walnut, California, United States",Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"4,159"
Pipemonk (Formerly ZapStitch),https://www.crunchbase.com/organization/zapstitch,"Information Technology, Data and Analytics, Software, Internet Services","Palo Alto, California, United States",Pipemonk is a data integration platform that allows companies to synchronize and move data amongst multiple cloud apps quickly and easily,"4,154"
Enplug,https://www.crunchbase.com/organization/enplug,"Media and Entertainment, Software, Sales and Marketing, Internet Services, Advertising","Culver City, California, United States",Enplug is a software company that built the first open platform for digital displays everywhere.,"4,134"
Space Pencil,https://www.crunchbase.com/organization/space-pencil,"Data and Analytics, Software","San Francisco, California, United States","Space Pencil offers a monthly service for measuring and optimizing SaaS-based sites, Facebook applications and other websites.","4,132"
Bugsnag,https://www.crunchbase.com/organization/bugsnag,Software,"San Francisco, California, United States",Bugsnag provides an automated crash detection platform for web and mobile applications.,"4,125"
Clearbit,https://www.crunchbase.com/organization/clearbit,"Data and Analytics, Software","San Francisco, California, United States",Clearbit develops a suite of business intelligence APIs for modern day firms.,"4,123"
LandlordStation,https://www.crunchbase.com/organization/landlordstation,"Real Estate, Software","Dallas, Texas, United States",LandlordStation provides a platform of simple web-based tools for independent landlords and property managers throughout the US.,"4,065"
Odoo,https://www.crunchbase.com/organization/openerp,"Manufacturing, Commerce and Shopping, Information Technology, Software, Sales and Marketing, Professional Services, Financial Services","Grand-rosière, Brabant Wallon, Belgium","Odoo is a suite of integrated business applications (ERP, CRM, Accounting, CMS).","4,058"
HappyCo (Happy Inspector),https://www.crunchbase.com/organization/happy-inspector,"Apps, Real Estate, Software, Mobile","San Francisco, California, United States",HappyCo is taking traditional paper based processes out of the dark ages.,"4,055"
Connectifier,https://www.crunchbase.com/organization/connectifier,"Data and Analytics, Software, Professional Services, Internet Services","Costa Mesa, California, United States","Connectifier helps recruiters discover, qualify, and connect with exceptional job candidates at roughly twice the rate of other solutions.","4,050"
FollowAnalytics,https://www.crunchbase.com/organization/followanalytics,"Apps, Information Technology, Data and Analytics, Software, Sales and Marketing, Design, Mobile","San Francisco, California, United States",FollowAnalytics provides a mobile marketing automation and engagement platform for Fortune 2000 companies,"4,014"
Mirakl,https://www.crunchbase.com/organization/mirakl,"Commerce and Shopping, Software, Internet Services","Paris, Ile-de-France, France",Mirakl provides on-demand online marketplace capabilities for online businesses on a managed basis.,"3,982"
Mambu,https://www.crunchbase.com/organization/mambu,"Software, Professional Services, Internet Services, Financial Services, Lending and Investments","Berlin, Germany, Europe","Mambu enables banking institutions to rapidly create, launch and service loan and deposit products through its agile cloud banking platform.","3,967"
Streetline,https://www.crunchbase.com/organization/streetline,"Hardware, Software, Transportation, Mobile","San Francisco, California, United States",Streetline builds solutions to manage vehicle parking through the customized design and application of new sensing technologies.,"3,966"
Evergage,https://www.crunchbase.com/organization/evergage,"Commerce and Shopping, Information Technology, Data and Analytics, Software, Sales and Marketing","Somerville, Massachusetts, United States",Evergage’s cloud-based platform empowers digital marketers to increase engagement and conversions through real-time 1:1 personalization.,"3,930"
Mashery,https://www.crunchbase.com/organization/mashery,"Data and Analytics, Software","San Francisco, California, United States",Mashery is a TIBCO company providing API management services that enable companies to leverage web services as a distribution channel.,"3,928"
Trooly,https://www.crunchbase.com/organization/troo-ly,"Data and Analytics, Software, Financial Services","Los Altos, California, United States","Trooly delivers Instant Trust™ services that verify, screen and predict trustworthy relationships and interactions. #FinTech #P2P","3,921"
Twenty20,https://www.crunchbase.com/organization/twenty20-2,"Media and Entertainment, Software, Sales and Marketing, Content and Publishing, Mobile","Marina Del Rey, California, United States","Twenty20 provides a modern, real-world alternative to traditional stock photography.","3,915"
Xevo,https://www.crunchbase.com/organization/xevoinc,"Science and Engineering, Travel and Tourism, Data and Analytics, Software, Transportation, Mobile",,Xevo (formerly UIEvolution) is the trusted global leader in data-driven user experiences for the automotive and cruise industries.,"3,912"
Falcon.io,https://www.crunchbase.com/organization/falcon-social,"Media and Entertainment, Software, Internet Services","Copenhagen, Hovedstaden, Denmark","Falcon.io provides an SaaS platform that allows marketing departments to create, launch and measure social media campaigns in real time.","3,911"
Datahug,https://www.crunchbase.com/organization/datahug,"Information Technology, Data and Analytics, Software, Sales and Marketing","San Francisco, California, United States","Datahug is a collaborative forecasting and pipeline management solution, built in Salesforce","3,869"
etouches,https://www.crunchbase.com/organization/etouches,"Media and Entertainment, Events, Software","Norwalk, Connecticut, United States",etouches offers in-cloud event management software solutions that covers every phase in the event planning lifecycle.,"3,856"
Bitium,https://www.crunchbase.com/organization/bitium,"Information Technology, Software, Internet Services, Privacy and Security","Santa Monica, California, United States","Bitium is a SaaS-based software operating system providing app management, single sign-on and analytics for cloud-based apps.","3,822"
Prevedere,https://www.crunchbase.com/organization/prevedere,"Data and Analytics, Software","Sunnyvale, California, United States",Prevedére is an enterprise software company enabling companies to identify the external economic factors that drive their business results.,"3,787"
Convo,https://www.crunchbase.com/organization/convo,"Apps, Media and Entertainment, Events, Software, Internet Services","San Francisco, California, United States",Convo is a cloud-based interactive business workspace enabling real-time conversations online.,"3,786"
8x8 Inc,https://www.crunchbase.com/organization/8x8-inc,"Hardware, Information Technology, Software, Internet Services, Messaging and Telecommunications","San Jose, California, United States","Secure, reliable cloud-based, enterprise-class business phone systems, unified communications and contact center solutions.","3,784"
Ning by Glam Media,https://www.crunchbase.com/organization/ning,"Community and Lifestyle, Software","Brisbane, California, United States",Ning by glam media is a SaaS-based platform for deploying vibrant social communities and websites.,"3,763"
Wiredrive,https://www.crunchbase.com/organization/wiredrive,"Media and Entertainment, Software, Internet Services, Video, Financial Services","Los Angeles, California, United States","Wiredrive is a secure media sharing and collaboration service for marketing teams, agencies, and production companies.","3,751"
Preact,https://www.crunchbase.com/organization/preact,"Data and Analytics, Software","San Francisco, California, United States",Preact is a cloud-based customer success service that helps subscription software companies maximize customer lifetime value by reducing,"3,747"
eFounders,https://www.crunchbase.com/organization/efounders,Software,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Efounders invents, generates, and tests business ideas for SaaS-based products.","3,726"
SalesPredict,https://www.crunchbase.com/organization/salespredict,"Science and Engineering, Data and Analytics, Software, Sales and Marketing","San Francisco, California, United States","SalesPredict helps sales, marketing, and customer success professionals improve conversions through predictive analytics and big data.","3,709"
Abacus Labs,https://www.crunchbase.com/organization/abacus-labs,"Travel and Tourism, Information Technology, Software, Professional Services, Financial Services","New York, New York, United States","Abacus is an intuitive way for you to reimburse your team, reconcile corporate cards, and implement your expense policy.","3,683"
Liaison Technologies,https://www.crunchbase.com/organization/liaison-technologies,"Hardware, Information Technology, Consumer Electronics, Data and Analytics, Software, Internet Services, Privacy and Security, Mobile","Alpharetta, Georgia, United States","Liaison’s cloud-enabled data integration and management solutions allow more than 7,000 customers to meet today’s toughest data challenges.","3,670"
Spigit,https://www.crunchbase.com/organization/spigit,Software,"San Francisco, California, United States","Spigit was founded to help companies unleash the power of their employees, partners, and customers to drive innovation.","3,668"
Swiftype,https://www.crunchbase.com/organization/swiftype,"Commerce and Shopping, Software, Sales and Marketing","San Francisco, California, United States","Swiftype, a Y Combinator-backed startup, builds fast & customizable search software for websites & apps that can be deployed in minutes.","3,660"
PropelPLM,https://www.crunchbase.com/organization/propelplm-inc,"Hardware, Software, Internet Services","Santa Clara, California, United States","Propel is a customer-centric PLM solution that helps you collaborate with your customers, partners and employees to deliver great products.","3,652"
PunchTab,https://www.crunchbase.com/organization/punchtab,"Data and Analytics, Software, Internet Services","Palo Alto, California, United States","PunchTab, an engagement & insights platform, helps brands connect to & understand consumers, delivering actionable insights & increasing.","3,640"
Hireology,https://www.crunchbase.com/organization/hireology,"Information Technology, Data and Analytics, Software, Professional Services, Privacy and Security","Chicago, Illinois, United States",Hireology is the leading hiring platform in the franchise and retail-automotive industries,"3,638"
WrkRiot,https://www.crunchbase.com/organization/1for-one,"Data and Analytics, Software, Professional Services","Santa Clara, California, United States",Taking the search out of job search with a patent pending customized platform utilizing NLP and Machine Learning.,"3,591"
Likeable Local,https://www.crunchbase.com/organization/likeable-local,"Software, Sales and Marketing, Advertising","New York, New York, United States","Likeable Local offers integrated software solutions for small businesses to create, enhance and manage their social media presence.","3,586"
Bunkr,https://www.crunchbase.com/organization/bunkr,Software,"San Francisco, California, United States",Present your work. Create beautiful presentations within seconds with the content you have everywhere in the cloud.,"3,569"
Clover,https://www.crunchbase.com/organization/clover,"Software, Payments, Financial Services, Mobile","Sunnyvale, California, United States","Clover is a cloud-based open business operating system, powered by Android-based devices.","3,567"
Five9 Inc,https://www.crunchbase.com/organization/five9,"Software, Sales and Marketing","San Ramon, California, United States","Five9 is a company providing cloud-based call center software for sales, marketing and support.","3,545"
Crownpeak,https://www.crunchbase.com/organization/crownpeak,Software,"Los Angeles, California, United States",Crownpeak is the only cloud-first Digital Experience Management (DXM) platform with native Digital Quality Management (DQM).,"3,524"
iControl Networks,https://www.crunchbase.com/organization/icontrol,"Software, Privacy and Security","Redwood City, California, United States",iControl Networks offers connected home solutions to households worldwide.,"3,512"
Juro,https://www.crunchbase.com/organization/juro,"Software, Sales and Marketing, Internet Services","London, England, United Kingdom",Smart automation for legal contracts,"3,501"
Vymo,https://www.crunchbase.com/organization/vymo,"Apps, Information Technology, Data and Analytics, Software, Sales and Marketing, Mobile","Seattle, Washington, United States","Vymo is a mobile-first Personal Sales Assistant. It can predict what a rep should do next and coach him on-the-go to close more, faster.","3,484"
Emailage,https://www.crunchbase.com/organization/emailage,"Data and Analytics, Software, Payments, Privacy and Security, Financial Services","Chandler, Arizona, United States",Emailage provides transactional risk assessment by assessing and scoring email data for organizations around the world.,"3,481"
Code Climate,https://www.crunchbase.com/organization/code-climate,Software,"New York, New York, United States",Code Climate consolidates the results from a suite of static analysis tools into a single,"3,470"
Panoply.io,https://www.crunchbase.com/organization/panoply-io,"Information Technology, Data and Analytics, Software, Internet Services","Tel Aviv, Tel Aviv, Israel",Automated data warehouse at lightspeed. Go from raw data to complex analysis in under 12 minutes,"3,453"
BlazeMeter,https://www.crunchbase.com/organization/blazemeter,"Information Technology, Data and Analytics, Software","Mountain View, California, United States",BlazeMeter is a jmeter and performance testing platform for DevOps.,"3,443"
Tidemark,https://www.crunchbase.com/organization/tidemark,"Data and Analytics, Software, Internet Services","Redwood City, California, United States",Tidemark offers a portfolio of next-generation enterprise performance management apps that provides analytics and forecasting solutions.,"3,442"
Zenoti,https://www.crunchbase.com/organization/managemyspa,"Software, Mobile","Mercer Island, Washington, United States","Zenoti is a Saas platform for salons, spas medi-spas. Clients are able manage all business operations, go online & go mobile.","3,438"
Datanyze,https://www.crunchbase.com/organization/datanyze,"Data and Analytics, Software, Sales and Marketing","San Mateo, California, United States",Datanyze is a unified sales intelligence platform.,"3,437"
Seaters,https://www.crunchbase.com/organization/seaters,"Platforms, Media and Entertainment, Music and Audio, Software, Sports, Mobile","New York, New York, United States","Seaters, the first global solution to optimize the occupation rate of sports and music events, helping unlock the true ROI of every seat.","3,418"
CliQr Technologies,https://www.crunchbase.com/organization/cliqr-technologies,"Software, Internet Services","San Jose, California, United States",CliQr is a leading provider of application-defined cloud management solutions.,"3,374"
MindTickle,https://www.crunchbase.com/organization/mindtickle,"Gaming, Information Technology, Software, Sales and Marketing, Education","Sunnyvale, California, United States","MindTickle is a next generation Sales Enablement platform that helps companies prepare their sales reps, support teams and partners in a sca","3,371"
SpringCM,https://www.crunchbase.com/organization/springcm,"Information Technology, Software, Internet Services","Chicago, Illinois, United States",SpringCM is an enterprise content management company providing cloud document management and workflow solutions for businesses.,"3,368"
Mux,https://www.crunchbase.com/organization/mux-2,"Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Video, Content and Publishing, Advertising","San Francisco, California, United States","Mux gives you insight, advice, and monitoring of your users' playback experience.","3,363"
Realeyes,https://www.crunchbase.com/organization/realeyes,"Hardware, Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Video, Advertising","London, England, United Kingdom",Unlock the full potential of your videos.,"3,351"
eSUB Construction Software,https://www.crunchbase.com/organization/esub-construction-software,"Real Estate, Software","San Diego, California, United States",eSUB Construction Software provides online project management to protect the profits of subcontractors.,"3,331"
Chute,https://www.crunchbase.com/organization/chute,"Platforms, Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Internet Services, Content and Publishing, Mobile","San Francisco, California, United States","Chute gives brands mastery over the world’s visual media - Discover audience content, ideate and create compelling visual content.","3,321"
Panaya,https://www.crunchbase.com/organization/panaya,Software,"Menlo Park, California, United States",Panaya is a SaaS-based company that provides cloud-based quality management solutions for enterprise applications.,"3,308"
Seerene,https://www.crunchbase.com/organization/seerene,"Information Technology, Data and Analytics, Software, Design","Potsdam, Brandenburg, Germany","Seerene offers insights and analytics about codes, applications, and teams for mission-critical software solutions.","3,293"
Staffjoy,https://www.crunchbase.com/organization/staffjoy,"Science and Engineering, Information Technology, Data and Analytics, Software","San Francisco, California, United States",Staffjoy helps automate the process of scheduling shifts for businesses to help managers staff effectively.,"3,267"
Liftopia,https://www.crunchbase.com/organization/liftopia,"Travel and Tourism, Commerce and Shopping, Software, Sports, Internet Services","San Francisco, California, United States",Liftopia operates an online and mobile marketplace and provides a technology platform for the ski and mountain activity industry.,"3,248"
Codeship,https://www.crunchbase.com/organization/codeship,"Data and Analytics, Software, Internet Services","Boston, Massachusetts, United States",Bringing Continuous Deployment to everyone The - Codeship runs your hosted tests and automated deployments.,"3,235"
PaySimple,https://www.crunchbase.com/organization/paysimple,"Software, Professional Services, Payments, Financial Services, Lending and Investments","Denver, Colorado, United States",PaySimple provides a SaaS-based online payment solution that offers integrated invoicing and payment acceptance in one system.,"3,212"
Slyce,https://www.crunchbase.com/organization/slyce,"Data and Analytics, Software, Internet Services","Canada, North America",Slyce is a visual search and image recognition technology provider for retailers and brands.,"3,185"
Procurify,https://www.crunchbase.com/organization/procurify,"Software, Transportation, Internet Services","Richmond, British Columbia, Canada","Procurify streamlines purchases, gives optimized spending, and increases visibility throughout the entire procure-to-pay process.","3,184"
PageCloud,https://www.crunchbase.com/organization/pagecloud,"Software, Internet Services, Design","Ottawa, Ontario, Canada",PageCloud is a browser-based website creation platform.,"3,171"
Emissary,https://www.crunchbase.com/organization/emissary,"Information Technology, Software, Sales and Marketing","New York, New York, United States",Our platform pairs sales professionals with former executives at the companies they are targeting.,"3,155"
Loop Commerce,https://www.crunchbase.com/organization/loop-commerce,"Commerce and Shopping, Software, Financial Services","Menlo Park, California, United States",Loop Commerce provides an enterprise-grade SaaS solution that fully integrates with retailers’ online stores to make every product giftable.,"3,147"
Chrome River Technologies,https://www.crunchbase.com/organization/chrome-river-technologies,"Hardware, Consumer Electronics, Software","Los Angeles, California, United States",Chrome River Technologies is a global provider of expense reporting and invoice management.,"3,145"
Certona,https://www.crunchbase.com/organization/certona,Software,"San Diego, California, United States",Certona is a multi-channel personalization platform for brands and retailers.,"3,140"
Teem,https://www.crunchbase.com/organization/eventboard,"Data and Analytics, Software, Messaging and Telecommunications, Mobile","Salt Lake City, Utah, United States","Formerly EventBoard, Teem is reinventing the way meeting rooms are managed.","3,096"
ServiceTitan,https://www.crunchbase.com/organization/servicetitan,"Real Estate, Software","Glendale, California, United States",ServiceTitan is the service management software that helps leading home services businesses generate more leads and close more sales.,"3,083"
Singular,https://www.crunchbase.com/organization/singular-net,"Software, Sales and Marketing, Advertising","San Francisco, California, United States","Singular has built the only unified marketing analytics platform that delivers attribution, data aggregation, creative reporting and more.","3,070"
Comfy,https://www.crunchbase.com/organization/building-robotics,"Science and Engineering, Sustainability, Real Estate, Data and Analytics, Software","Oakland, California, United States",Comfy is changing the way people interact with their workplaces. Formerly known as Building Robotics.,"3,044"
CareSkore,https://www.crunchbase.com/organization/careskore,"Information Technology, Data and Analytics, Software, Health Care, Mobile","Mountain View, California, United States","Predictive analytics based CRM (patient follow up and management) for hospitals, health systems, ACOs and payers","3,038"
Knowlarity Communications,https://www.crunchbase.com/organization/knowlarity-communications,"Hardware, Software, Internet Services","Gurgaon, Haryana, India",Knowlarity Communications is a cloud telephony company in Asia,"3,034"
Autogrid,https://www.crunchbase.com/organization/autogrid,"Energy, Data and Analytics, Software","Redwood City, California, United States",AutoGrid Systems organizes energy data and employs big data analytics to generate real-time predictions that create actionable data.,"3,032"
BestMile,https://www.crunchbase.com/organization/bestmile,"Data and Analytics, Software, Transportation, Internet Services, Mobile","Lausanne, Vaud, Switzerland",BestMile is a cloud-based company offering a fleet optimization platform for autonomous vehicles,"3,028"
CracX,https://www.crunchbase.com/organization/cracx,"Software, Internet Services",,A portal about guides and pc softwares with instructions and guides!,"3,021"
OverOps,https://www.crunchbase.com/organization/overops,"Data and Analytics, Software, Internet Services","San Francisco, California, United States",OverOps employs big data technologies to build solutions that enable developers to debug software and manage cloud downtime.,"3,003"
Choozle,https://www.crunchbase.com/organization/choozle,"Media and Entertainment, Software, Sales and Marketing, Advertising","Denver, Colorado, United States",Choozle offers cloud-based platform with data-driven tools that enable companies to analyze customer behavior and grow their business.,"2,991"
Samanage,https://www.crunchbase.com/organization/samanage,"Information Technology, Software","Cary, North Carolina, United States",Samanage is enterprise service desk software that helps get work done by managing all service relationships in the company.,"2,989"
Sparkcentral,https://www.crunchbase.com/organization/sparkcentral,"Apps, Media and Entertainment, Software, Internet Services","San Francisco, California, United States","Sparkcentral empowers brands to deliver customer service via social channels like Twitter, Facebook, Instagram, Messenger, and WeChat.","2,975"
Abbi.io,https://www.crunchbase.com/organization/abbi-io,"Platforms, Apps, Data and Analytics, Software, Sales and Marketing, Mobile","Israel, Asia",Abbi increases in-app engagement and revenues.,"2,970"
Insert,https://www.crunchbase.com/organization/insert,"Platforms, Software, Sales and Marketing, Mobile","Israel, Asia",Insert is The First Automated In-App Marketing Platform,"2,949"
FusionOps,https://www.crunchbase.com/organization/fusionops,"Data and Analytics, Software, Internet Services","Sunnyvale, California, United States",FusionOps provides the supply chain intelligence cloud that helps major enterprise make better decisions to drive supply chain success.,"2,948"
SEWORKS,https://www.crunchbase.com/organization/seworks,"Apps, Information Technology, Software, Privacy and Security, Mobile","San Francisco, California, United States","SEWORKS provides AppSolid, a powerful cloud-based security solution for mobile apps (Android/iOS/Unity).","2,920"
FloQast,https://www.crunchbase.com/organization/floqast,"Software, Professional Services, Financial Services","Los Angeles, California, United States","That fastest, most accurate way to close the books.","2,894"
Interfolio,https://www.crunchbase.com/organization/interfolio,"Software, Education","Washington, District of Columbia, United States",Interfolio is an enterprise SaaS collaboration platform serving the global higher education market.,"2,886"
PacketZoom,https://www.crunchbase.com/organization/packetzoom,"Platforms, Apps, Software, Mobile","San Mateo, California, United States",We speed up mobile apps by removing performance roadblocks in WiFi and cellular networks. It’s like an express lane customized for you.,"2,859"
RJMetrics,https://www.crunchbase.com/organization/rjmetrics,"Information Technology, Data and Analytics, Software, Sales and Marketing","Philadelphia, Pennsylvania, United States",RJMetrics is a complete analytics platform for online businesses.,"2,852"
Skytap,https://www.crunchbase.com/organization/skytap,"Software, Internet Services","Seattle, Washington, United States",Skytap provides cloud-based testing and development environments for enterprises supporting both native VMware and AWS workloads.,"2,843"
Smarking,https://www.crunchbase.com/organization/smarking,"Data and Analytics, Software, Transportation","San Francisco, California, United States",Smarking turns parking data into instant actionable insights.,"2,840"
Jibe,https://www.crunchbase.com/organization/jibe,"Software, Professional Services, Internet Services","New York, New York, United States",Jibe provides SaaS-based recruiting technology solutions to the Global Fortune 1000.,"2,826"
JazzHR,https://www.crunchbase.com/organization/theresumator,"Software, Professional Services, Internet Services","Pittsburgh, Pennsylvania, United States","JazzHR is easy, powerful and affordable recruiting software purpose-build for SMBs. SaaS ATS for masses.","2,822"
Lucid,https://www.crunchbase.com/organization/lucid-design-group,"Energy, Information Technology, Sustainability, Data and Analytics, Software, Internet Services, Design","Oakland, California, United States",Lucid's BuildingOS provides the world's most comprehensive business intelligence platform for building portfolio operations.,"2,818"
otonomo,https://www.crunchbase.com/organization/otonomo,"Software, Transportation","Herzliya, Tel Aviv, Israel",otonomo provides a cloud-based SaaS solution for car manufactures to share and monetize car data and offer drivers in-car services.,"2,815"
